Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),Average_Temperature,Temperature_Range,Rain_Status,Rain_Category,Year,Month,Day,Month_Name,Season
2024-11-16,10.7,33.6,0.0,7.8,10.0,NNW,52.0,13:29,20.7,53,6,N,4,1015.5,32.0,23,7.0,N,26,1010.3,22.15,22.900000000000002,No Rain,No Rain,2024,11,16,November,Spring
2024-11-17,19.9,23.7,0.0,15.6,5.6,N,56.0,2:27,22.5,46,7,WSW,4,1001.4,18.6,51,3.0,NNW,7,1007.3,21.799999999999997,3.8000000000000007,No Rain,No Rain,2024,11,17,November,Spring
2024-11-18,11.9,18.9,1.8,7.4,9.3,NW,41.0,23:01,15.2,56,7,W,13,1018.3,17.4,56,6.0,SSW,13,1020.0,15.399999999999999,6.999999999999998,Rainy,Light,2024,11,18,November,Spring
2024-11-19,13.5,17.1,0.0,5.6,9.8,SSW,37.0,15:46,14.6,53,7,SSE,7,1025.3,16.8,52,1.0,SSW,17,1024.6,15.3,3.6000000000000014,No Rain,No Rain,2024,11,19,November,Spring
2024-11-20,13.0,17.8,0.0,4.0,7.6,S,33.0,15:29,14.4,59,7,SSE,9,1025.9,16.9,59,7.0,S,17,1024.0,15.4,4.800000000000001,No Rain,No Rain,2024,11,20,November,Spring
2024-11-21,10.4,25.6,0.0,5.6,11.3,SSW,28.0,14:45,15.1,77,1,N,9,1023.3,22.7,60,4.0,SW,13,1018.9,18.0,15.200000000000001,No Rain,No Rain,2024,11,21,November,Spring
2024-11-22,15.0,37.0,0.0,8.0,9.4,,,,23.1,59,4,NNE,9,1019.8,35.5,18,7.0,SSE,11,1016.0,26.0,22.0,No Rain,No Rain,2024,11,22,November,Spring
2024-11-23,22.7,36.5,0.0,13.8,3.8,S,44.0,16:06,29.0,30,7,N,17,1015.4,35.9,19,7.0,WNW,11,1012.0,29.6,13.8,No Rain,No Rain,2024,11,23,November,Spring
2024-11-24,18.5,21.9,9.8,10.0,0.0,SSW,20.0,18:17,19.2,100,8, ,Calm,1017.1,21.0,92,8.0,SSW,7,1016.1,20.2,3.3999999999999986,Rainy,Moderate,2024,11,24,November,Spring
2024-11-25,16.7,18.7,5.2,0.0,0.0,SSW,22.0,9:05,17.2,100,8,SSW,11,1015.0,18.1,100,8.0,WSW,6,1012.8,17.7,2.0,Rainy,Moderate,2024,11,25,November,Spring
2024-11-26,17.0,26.5,1.4,0.0,5.3,WSW,22.0,16:40,18.3,100,7,NW,7,1010.0,24.5,68,7.0,SSW,9,1006.5,21.75,9.5,Rainy,Light,2024,11,26,November,Spring
2024-11-27,18.3,31.0,24.4,8.6,6.2,NW,50.0,11:38,21.3,100,7,N,7,1001.5,24.1,62,6.0,WSW,17,1000.2,24.65,12.7,Rainy,Heavy,2024,11,27,November,Spring
2024-11-28,15.7,24.8,8.4,6.2,9.7,SSW,35.0,14:29,19.3,70,5,SSW,7,1013.8,23.7,58,3.0,S,11,1014.4,20.25,9.100000000000001,Rainy,Moderate,2024,11,28,November,Spring
2024-11-29,17.0,30.2,0.0,6.8,12.2,SSE,37.0,17:08,21.2,72,7,SE,2,1017.5,27.2,59,1.0,SSW,9,1013.6,23.6,13.2,No Rain,No Rain,2024,11,29,November,Spring
2024-11-30,19.6,23.9,1.4,7.6,1.5,NW,26.0,19:43,19.7,100,8,S,2,1009.2,22.3,95,7.0,E,9,1001.1,21.75,4.299999999999997,Rainy,Light,2024,11,30,November,Spring
2024-01-12,18.8,24.9,11.2,3.2,7.0,N,44.0,9:31,21.1,59,1,N,22,1002.7,24.0,47,7.0,W,11,1002.8,21.85,6.099999999999998,Rainy,Heavy,2024,1,12,January,Summer
2024-02-12,15.5,31.8,1.8,6.6,12.3,N,41.0,13:45,20.8,70,5,NNE,6,1006.8,29.9,33,7.0,NNW,24,1002.5,23.65,16.3,Rainy,Light,2024,2,12,February,Summer
2024-03-12,20.7,31.1,0.4,9.8,10.7,WNW,43.0,12:59,25.5,69,7,N,20,1000.3,30.0,32,5.0,W,15,1001.2,25.9,10.400000000000002,Rainy,Light,2024,3,12,March,Autumn
2024-04-12,13.4,24.8,0.0,12.0,13.0,SW,30.0,12:46,17.2,56,3,S,11,1017.4,20.8,55,1.0,SSW,15,1016.9,19.1,11.4,No Rain,No Rain,2024,4,12,April,Autumn
2024-05-12,13.9,33.2,0.0,7.4,13.6,SSE,28.0,17:41,20.5,67,0,ENE,4,1017.1,32.0,18,1.0,SSW,13,1014.6,23.55,19.300000000000004,No Rain,No Rain,2024,5,12,May,Autumn
2024-06-12,20.4,30.4,0.0,11.2,3.2,SSW,39.0,11:15,27.8,47,7,NNE,9,1014.1,23.7,60,8.0,SSW,13,1015.4,25.4,10.0,No Rain,No Rain,2024,6,12,June,Winter
2024-07-12,19.5,26.6,3.8,5.2,10.0,S,35.0,16:07,23.4,79,7,N,13,1007.1,26.0,66,3.0,SSW,11,1006.7,23.05,7.100000000000001,Rainy,Moderate,2024,7,12,July,Winter
2024-08-12,13.8,20.5,0.0,8.6,12.2,WSW,31.0,6:43,16.6,53,6,SW,13,1015.3,19.6,47,1.0,S,15,1015.0,17.15,6.699999999999999,No Rain,No Rain,2024,8,12,August,Winter
2024-09-12,12.7,21.7,0.0,8.0,8.6,SSW,26.0,17:22,15.3,61,7,W,9,1016.9,19.6,45,1.0,SSW,9,1015.4,17.2,9.0,No Rain,No Rain,2024,9,12,September,Spring
2024-10-12,14.6,21.9,0.0,6.0,10.9,S,33.0,15:03,17.6,57,6,SSW,9,1016.0,21.2,43,7.0,SSW,11,1014.6,18.25,7.299999999999999,No Rain,No Rain,2024,10,12,October,Spring
2024-11-12,13.9,24.0,0.0,7.2,10.7,W,28.0,7:56,16.4,60,7,WSW,13,1013.5,22.0,39,2.0,SSW,9,1010.4,18.95,10.1,No Rain,No Rain,2024,11,12,November,Spring
2024-12-12,16.2,26.5,0.0,7.6,11.6,WSW,30.0,1:39,17.4,66,5,NW,9,1009.9,24.3,53,4.0,S,11,1007.6,21.35,10.3,No Rain,No Rain,2024,12,12,December,Summer
2024-12-13,16.8,21.7,0.0,8.2,9.9,S,28.0,10:43,17.6,72,7,W,7,1010.1,21.1,60,3.0,SSW,15,1010.4,19.25,4.899999999999999,No Rain,No Rain,2024,12,13,December,Summer
2024-12-14,12.6,24.2,0.0,7.0,4.2,SSW,28.0,16:22,17.5,65,6,ESE,9,1011.7,23.8,53,7.0,SSW,11,1008.9,18.4,11.6,No Rain,No Rain,2024,12,14,December,Summer
2024-12-15,12.8,31.6,0.0,5.2,12.9,SSE,28.0,18:10,19.2,64,0,ENE,2,1013.3,27.4,54,1.0,WSW,9,1010.0,22.200000000000003,18.8,No Rain,No Rain,2024,12,15,December,Summer
2024-12-16,18.8,39.4,0.0,11.2,2.6,NNW,56.0,13:52,29.9,42,7,NNE,11,1006.4,37.3,27,6.0,N,31,1001.4,29.1,20.599999999999998,No Rain,No Rain,2024,12,16,December,Summer
2024-12-17,17.6,23.4,1.2,12.6,11.5,SSE,43.0,17:29,19.0,58,4,WSW,11,1011.7,21.0,51,3.0,S,17,1011.9,20.5,5.799999999999997,Rainy,Light,2024,12,17,December,Summer
2024-12-18,15.2,21.8,0.0,10.2,12.4,SSW,43.0,13:42,17.4,56,7,SSE,13,1021.6,20.3,50,1.0,S,20,1020.8,18.5,6.600000000000001,No Rain,No Rain,2024,12,18,December,Summer
2024-12-19,11.3,31.1,0.0,9.2,13.5,N,35.0,9:44,17.6,61,0,NNW,11,1019.9,29.4,27,1.0,E,9,1015.5,21.200000000000003,19.8,No Rain,No Rain,2024,12,19,December,Summer
2024-12-20,16.2,34.6,0.0,11.4,10.0,SSW,44.0,15:39,23.3,45,1,NNE,6,1011.2,34.0,24,7.0,NNE,13,1006.3,25.4,18.400000000000002,No Rain,No Rain,2024,12,20,December,Summer
2024-12-21,16.5,20.3,0.0,10.8,8.7,S,41.0,13:44,18.2,53,7,S,13,1014.1,19.0,52,5.0,SSW,20,1013.1,18.4,3.8000000000000007,No Rain,No Rain,2024,12,21,December,Summer
2024-12-22,14.3,21.6,0.0,8.6,7.5,S,44.0,19:40,16.4,56,7,SSE,7,1010.2,20.6,42,3.0,SSW,13,1006.3,17.950000000000003,7.300000000000001,No Rain,No Rain,2024,12,22,December,Summer
2024-12-23,11.0,18.5,16.0,7.0,8.5,SSW,43.0,19:52,14.4,63,3,SW,15,1009.4,17.9,51,7.0,SSW,15,1010.0,14.75,7.5,Rainy,Heavy,2024,12,23,December,Summer
2024-12-24,12.7,23.0,0.8,6.8,6.3,SSW,28.0,9:06,15.5,69,7,W,13,1016.4,21.1,52,7.0,SSW,9,1015.9,17.85,10.3,Rainy,Light,2024,12,24,December,Summer
2024-12-25,15.5,33.4,0.0,6.4,12.5,SE,30.0,17:11,19.2,71,1,ENE,7,1016.4,31.2,27,1.0,SSE,6,1012.1,24.45,17.9,No Rain,No Rain,2024,12,25,December,Summer
2024-12-26,18.8,36.7,0.0,15.6,2.0,SW,52.0,20:30,30.7,28,5,N,19,1005.6,36.0,15,7.0,NNW,20,998.8,27.75,17.900000000000002,No Rain,No Rain,2024,12,26,December,Summer
2024-12-27,16.5,21.5,0.0,13.2,5.7,S,39.0,16:19,17.1,56,7,W,11,1006.0,20.5,47,7.0,SSW,13,1007.0,19.0,5.0,No Rain,No Rain,2024,12,27,December,Summer
2024-12-28,11.9,23.7,0.0,7.0,6.3,SSW,46.0,16:35,18.3,46,2,NNW,6,1009.9,22.8,34,7.0,W,11,1008.5,17.8,11.799999999999999,No Rain,No Rain,2024,12,28,December,Summer
2024-12-29,12.0,25.3,3.4,5.6,12.8,SSW,28.0,17:40,17.0,62,1,WSW,6,1016.8,24.0,41,6.0,SSW,9,1015.9,18.65,13.3,Rainy,Moderate,2024,12,29,December,Summer
2024-12-30,14.0,26.9,0.0,8.4,8.3,SSW,33.0,18:35,19.9,65,5,S,4,1017.8,26.6,43,7.0,S,9,1015.4,20.45,12.899999999999999,No Rain,No Rain,2024,12,30,December,Summer
2024-12-31,16.3,25.0,0.0,7.6,11.6,S,35.0,18:06,19.7,68,7, ,Calm,1018.1,22.9,50,1.0,SSW,15,1015.2,20.65,8.7,No Rain,No Rain,2024,12,31,December,Summer
2025-01-01,14.9,21.7,0.0,8.2,8.3,SSE,41.0,17:34,17.1,69,7,SSW,9,1016.7,20.8,54,1.0,S,15,1016.5,18.3,6.799999999999999,No Rain,No Rain,2025,1,1,January,Summer
2025-02-01,14.3,20.4,0.0,8.4,12.5,SSW,41.0,14:30,17.5,46,6,SE,17,1022.7,19.9,44,1.0,S,17,1022.1,17.35,6.099999999999998,No Rain,No Rain,2025,2,1,February,Summer
2025-03-01,11.3,25.4,0.0,10.4,13.5,SSW,30.0,14:50,16.7,61,1, ,Calm,1019.8,24.2,50,1.0,SSW,11,1014.6,18.35,14.099999999999998,No Rain,No Rain,2025,3,1,March,Autumn
2025-04-01,16.2,37.4,0.0,10.0,10.0,NNW,31.0,10:06,24.6,49,3,NNE,6,1012.2,36.2,12,7.0,W,6,1009.4,26.799999999999997,21.2,No Rain,No Rain,2025,4,1,April,Autumn
2025-05-01,19.2,38.0,0.0,15.6,4.6,N,37.0,14:06,25.3,36,7,NNE,13,1011.5,36.9,15,6.0,N,19,1008.4,28.6,18.8,No Rain,No Rain,2025,5,1,May,Autumn
2025-06-01,17.1,18.9,2.2,15.8,0.3,SSW,33.0,18:36,17.1,91,8,SSW,11,1017.2,16.1,83,8.0,S,13,1019.6,18.0,1.7999999999999972,Rainy,Moderate,2025,6,1,June,Winter
2025-07-01,14.5,25.3,24.6,4.4,12.0,SE,43.0,14:09,18.4,57,1,SE,11,1023.2,24.3,46,7.0,SE,20,1020.7,19.9,10.8,Rainy,Heavy,2025,7,1,July,Winter
2025-08-01,12.9,30.2,0.0,7.4,13.2,SSE,33.0,15:08,18.2,66,1,NNE,7,1020.6,28.5,39,3.0,SSW,13,1016.0,21.55,17.299999999999997,No Rain,No Rain,2025,8,1,August,Winter
2025-09-01,18.0,32.5,0.0,11.4,6.1,N,41.0,10:36,24.1,43,7,N,17,1015.4,29.5,28,7.0,NW,15,1013.7,25.25,14.5,No Rain,No Rain,2025,9,1,September,Spring
2025-10-01,18.1,26.8,0.0,9.0,10.8,SSW,31.0,13:03,21.5,64,7, ,Calm,1015.6,26.2,55,5.0,SSW,13,1013.6,22.450000000000003,8.7,No Rain,No Rain,2025,10,1,October,Spring
2025-11-01,18.9,34.2,0.0,10.0,9.0,NNW,41.0,8:34,25.6,55,1,NNE,9,1011.4,32.3,34,7.0,SSW,11,1007.2,26.55,15.300000000000004,No Rain,No Rain,2025,11,1,November,Spring
2025-12-01,20.5,28.1,0.0,10.2,2.7,N,33.0,4:00,25.3,55,6,N,17,1007.3,21.2,90,8.0,WNW,2,1009.2,24.3,7.600000000000001,No Rain,No Rain,2025,12,1,December,Summer
2025-01-13,18.9,25.3,31.0,1.8,10.5,S,33.0,15:33,20.7,75,7,N,2,1008.7,23.4,71,6.0,SSW,15,1006.5,22.1,6.400000000000002,Rainy,Heavy,2025,1,13,January,Summer
2025-01-14,18.0,27.0,0.0,6.2,11.1,SSW,28.0,12:26,19.1,75,7,NNW,2,1009.3,22.8,67,1.0,SSW,17,1007.0,22.5,9.0,No Rain,No Rain,2025,1,14,January,Summer
2025-01-15,18.8,24.1,0.0,8.0,0.3,S,48.0,17:42,22.8,74,7,SSW,9,997.7,22.4,64,7.0,S,11,998.9,21.450000000000003,5.300000000000001,No Rain,No Rain,2025,1,15,January,Summer
2025-01-16,13.7,21.6,2.2,0.8,9.9,SSW,35.0,10:27,16.1,70,7,SW,7,1010.9,20.7,48,4.0,S,15,1012.9,17.65,7.900000000000002,Rainy,Moderate,2025,1,16,January,Summer
2025-01-17,16.1,21.4,2.2,7.4,10.6,SSW,39.0,14:51,19.4,65,6,SSE,13,1018.8,20.2,57,1.0,S,19,1020.2,18.75,5.299999999999997,Rainy,Moderate,2025,1,17,January,Summer
2025-01-18,16.1,30.3,0.2,7.2,13.4,SE,33.0,2:49,19.7,59,1,E,7,1021.6,26.9,35,0.0,SSW,11,1018.9,23.200000000000003,14.2,Rainy,Light,2025,1,18,January,Summer
2025-01-19,16.0,33.9,0.0,8.2,11.2,SSW,31.0,13:28,22.1,59,1,ENE,2,1018.4,32.9,20,6.0,SSW,13,1014.2,24.95,17.9,No Rain,No Rain,2025,1,19,January,Summer
2025-01-20,18.3,34.6,0.0,11.8,6.1,SSE,31.0,16:12,23.1,56,7,NNE,6,1011.5,33.9,23,7.0,SSE,7,1007.5,26.450000000000003,16.3,No Rain,No Rain,2025,1,20,January,Summer
2025-01-21,19.3,28.3,0.0,11.8,11.5,SSW,43.0,16:47,22.9,73,1,WNW,4,1008.6,25.4,67,1.0,SSW,19,1004.1,23.8,9.0,No Rain,No Rain,2025,1,21,January,Summer
2025-01-22,17.6,22.1,0.0,8.0,8.0,S,43.0,15:37,18.5,63,7,S,15,1012.4,20.9,55,5.0,SSW,19,1013.3,19.85,4.5,No Rain,No Rain,2025,1,22,January,Summer
2025-01-23,13.2,20.4,0.0,7.6,1.2,SSW,35.0,15:34,16.9,64,8,S,7,1010.5,18.9,72,8.0,S,15,1008.7,16.799999999999997,7.199999999999999,No Rain,No Rain,2025,1,23,January,Summer
2025-01-24,14.6,23.3,0.0,4.8,10.9,SSW,39.0,23:30,16.8,63,7,SW,11,1012.6,21.6,44,2.0,SSE,15,1012.4,18.95,8.700000000000001,No Rain,No Rain,2025,1,24,January,Summer
2025-01-25,16.7,24.8,0.0,6.8,10.3,SSW,37.0,17:23,19.1,66,7,SSE,4,1013.9,23.6,46,1.0,SSE,9,1012.9,20.75,8.100000000000001,No Rain,No Rain,2025,1,25,January,Summer
2025-01-26,16.8,25.3,0.0,7.8,10.3,S,33.0,12:02,19.5,71,7,E,11,1016.0,21.7,60,3.0,SSW,17,1013.1,21.05,8.5,No Rain,No Rain,2025,1,26,January,Summer
2025-01-27,17.0,39.8,0.0,7.8,9.1,N,48.0,11:59,25.3,52,5,N,11,1006.0,37.8,23,2.0,NNW,19,1001.6,28.4,22.799999999999997,No Rain,No Rain,2025,1,27,January,Summer
2025-01-28,18.2,22.6,0.2,14.4,8.9,SSW,39.0,13:08,18.9,61,7,SSW,15,1014.5,21.6,45,5.0,S,19,1017.1,20.4,4.400000000000002,Rainy,Light,2025,1,28,January,Summer
2025-01-29,15.5,22.6,0.0,9.4,10.3,,,,17.8,50,7,SE,11,1018.9,19.6,52,5.0,S,17,1018.0,19.05,7.100000000000001,No Rain,No Rain,2025,1,29,January,Summer
2025-01-30,15.5,22.6,0.0,8.8,8.7,,,,17.3,53,7,SSE,11,1016.3,20.2,45,1.0,SSW,17,1016.0,19.05,7.100000000000001,No Rain,No Rain,2025,1,30,January,Summer
2025-01-31,15.5,22.5,0.0,7.2,12.9,SSW,41.0,14:03,19.1,61,6,SSE,9,1019.3,22.5,54,1.0,SSW,15,1018.3,19.0,7.0,No Rain,No Rain,2025,1,31,January,Summer
