Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),Average_Temperature,Temperature_Range,Rain_Status,Rain_Category,Year,Month,Day,Month_Name,Season
2024-12-02,18.7,35.8,0.0,10.0,12.2,NNW,50.0,13:26,25.2,53,0,NE,7,1015.4,35.4,29,3.0,NNW,22,1011.2,27.25,17.099999999999998,No Rain,No Rain,2024,12,2,December,Summer
2024-02-13,20.0,36.7,0.0,11.8,9.0,N,54.0,9:58,29.3,41,1,N,24,1007.2,32.9,39,6.0,N,19,1000.1,28.35,16.700000000000003,No Rain,No Rain,2024,2,13,February,Summer
2024-02-14,14.4,20.3,1.2,12.0,8.2,WSW,31.0,23:21,15.2,66,7,W,9,1016.8,19.3,46,6.0,S,17,1018.4,17.35,5.9,Rainy,Light,2024,2,14,February,Summer
2024-02-15,12.4,20.9,0.0,6.4,11.0,SSW,35.0,15:23,16.3,52,1,SE,9,1022.7,19.8,51,7.0,S,19,1021.9,16.65,8.499999999999998,No Rain,No Rain,2024,2,15,February,Summer
2024-02-16,12.8,22.9,0.0,5.8,8.6,SSW,35.0,16:58,15.7,72,8,NNE,7,1023.2,21.5,59,7.0,SSW,15,1021.3,17.85,10.099999999999998,No Rain,No Rain,2024,2,16,February,Summer
2024-02-17,14.1,23.1,0.0,5.2,7.6,SSW,31.0,15:44,17.3,81,8,NNE,4,1022.8,22.1,59,7.0,SSW,15,1021.3,18.6,9.000000000000002,No Rain,No Rain,2024,2,17,February,Summer
2024-02-18,15.4,21.8,0.0,5.6,8.2,SSW,33.0,17:13,18.4,69,8,ESE,7,1021.8,21.1,59,2.0,SSW,13,1020.6,18.6,6.4,No Rain,No Rain,2024,2,18,February,Summer
2024-02-19,17.4,22.2,0.0,7.0,9.5,SSW,33.0,15:57,18.2,65,7,SSE,9,1021.6,21.4,61,1.0,SSW,13,1019.8,19.799999999999997,4.800000000000001,No Rain,No Rain,2024,2,19,February,Summer
2024-02-20,16.2,29.2,0.0,7.6,8.9,SSW,28.0,16:47,19.8,71,7, ,Calm,1016.7,27.2,56,5.0,S,11,1013.3,22.7,13.0,No Rain,No Rain,2024,2,20,February,Summer
2024-02-21,19.3,33.9,0.0,8.0,10.8,N,41.0,11:15,24.7,52,4,NNE,9,1014.5,33.3,31,2.0,NNE,20,1011.4,26.6,14.599999999999998,No Rain,No Rain,2024,2,21,February,Summer
